Institution,Faculty,Gender,Age,Level,Exposed_to_Content,Frequency,Content_Type,Awareness_Increased,Learned_Deforestation,Influenced_Views,Pay_Attention,Follow_Pages,Platforms_Used_Raw,Main_Platform,Interaction_Type,Pref_Instagram,Pref_Twitter,Pref_WhatsApp,Pref_YouTube,Changed_Behavior,Actions_Taken_Raw,Social_Media_Motivates,Conscious_Increase,Speak_More,Feel_Responsible,Effective_Factor,Suggestions
"The Polytechnic, Ibadan",Business,Female,21–25,500 Level / Postgraduate,Yes,Daily,Campaign Flyers,5,3,3,3,Yes,WhatsApp,WhatsApp,Share/Repost,4,4,4,3,Yes,Shared Content,2,5,5,3,Influencer promotion,None
"Federal College of Agriculture, Ibadan",Agriculture,Male,16–20,400 Level,Yes,Weekly,Videos/Documentaries,4,4,3,1,Yes,WhatsApp,Instagram,Like only,3,5,1,3,No,None,4,5,3,4,Emotional storytelling,None
"The Polytechnic, Ibadan",Business,Female,21–25,300 Level,Yes,Daily,Images/Posters,3,4,5,5,Yes,Facebook,WhatsApp,Like & Comment,4,2,5,3,No,None,3,5,3,4,Strong visuals,None
University of Ibadan (UI),Renewable Natural Resources,Male,21–25,300 Level,No,Not Applicable,None,3,3,3,3,No,"Facebook, Twitter (X)",Facebook,Like & Comment,4,4,5,4,No,None,2,3,2,2,Emotional storytelling,Collaborate with schools
"The Polytechnic, Ibadan",Science,Male,16–20,100 Level,Yes,Daily,Videos/Documentaries,5,5,5,4,Yes,Twitter (X),Instagram,Participate in Challenges/Campaigns,2,4,4,2,Yes,Joined Group,5,5,5,5,Strong visuals,None
"Federal College of Agriculture, Ibadan",Agriculture,Female,21–25,200 Level,Yes,Rarely,Videos/Documentaries,4,2,3,2,Yes,"WhatsApp, Facebook",Facebook,Like & Comment,5,3,4,5,No,None,2,1,1,4,Emotional storytelling,None
"The Polytechnic, Ibadan",Engineering,Male,16–20,200 Level,Yes,Weekly,Infographics,5,2,5,4,No,Facebook,WhatsApp,Like only,5,2,5,4,No,None,4,5,3,3,Emotional storytelling,None
"Federal College of Agriculture, Ibadan",Horticulture,Female,26–30,400 Level,Yes,Weekly,Infographics,4,5,3,4,Yes,"WhatsApp, Instagram, Twitter (X), YouTube",Facebook,I only view/read,3,3,4,3,No,None,2,5,2,4,Strong visuals,More videos
"Federal College of Agriculture, Ibadan",Horticulture,Female,16–20,300 Level,Yes,Rarely,Articles/Posts,4,2,4,3,Yes,Instagram,Twitter (X),Like only,3,1,4,5,No,None,4,3,2,4,Simplicity and clarity,None
"Federal College of Agriculture, Ibadan",Horticulture,Female,16–20,300 Level,Yes,Weekly,Images/Posters,3,5,4,4,Yes,Instagram,Twitter (X),Like & Comment,4,4,4,4,No,None,2,3,1,4,Simplicity and clarity,More videos
University of Ibadan (UI),Social Sciences,Male,16–20,300 Level,Yes,Weekly,Videos/Documentaries,5,3,3,2,No,"Instagram, TikTok",WhatsApp,I only view/read,3,1,5,2,No,None,4,2,2,4,Strong visuals,None
University of Ibadan (UI),Social Sciences,Female,16–20,400 Level,Yes,Weekly,Images/Posters,4,4,3,2,No,WhatsApp,WhatsApp,I only view/read,5,3,2,3,No,None,3,4,4,5,Strong visuals,Good job
"Federal College of Agriculture, Ibadan",Horticulture,Female,16–20,100 Level,Yes,Rarely,Videos/Documentaries,3,2,3,2,Yes,"Facebook, Instagram",WhatsApp,I only view/read,3,3,3,5,No,None,3,5,3,5,Simplicity and clarity,None
University of Ibadan (UI),Arts,Female,16–20,400 Level,Yes,Rarely,Infographics,3,3,2,1,No,WhatsApp,Twitter (X),Share/Repost,3,4,3,4,No,None,2,4,3,3,Real-life statistics,Make it relatable
"Federal College of Agriculture, Ibadan",Agriculture,Male,21–25,500 Level / Postgraduate,No,Not Applicable,None,3,3,3,3,No,"WhatsApp, Instagram",WhatsApp,Like & Comment,4,5,5,4,No,None,2,5,3,3,Strong visuals,Make it relatable
"The Polytechnic, Ibadan",Science,Male,21–25,400 Level,Yes,Rarely,Images/Posters,1,3,3,2,Yes,WhatsApp,WhatsApp,Like only,3,4,3,4,No,None,3,3,2,2,Strong visuals,More videos
"Federal College of Agriculture, Ibadan",Agriculture,Female,21–25,300 Level,Yes,Rarely,Images/Posters,4,2,3,5,Yes,"WhatsApp, Facebook, Instagram",Twitter (X),Like only,5,3,3,3,No,None,3,3,1,2,Strong visuals,None
"Federal College of Agriculture, Ibadan",Agriculture,Female,21–25,300 Level,No,Not Applicable,None,3,3,3,3,No,"Facebook, TikTok",WhatsApp,Like & Comment,4,2,2,2,No,None,4,2,1,2,Strong visuals,None
"The Polytechnic, Ibadan",Science,Male,26–30,100 Level,Yes,Daily,Articles/Posts,3,5,4,4,Yes,Facebook,Facebook,Share/Repost,5,3,5,1,Not sure,None,4,4,3,4,Strong visuals,None
"Federal College of Agriculture, Ibadan",Horticulture,Female,21–25,300 Level,Yes,Daily,Images/Posters,3,5,4,4,Yes,WhatsApp,WhatsApp,Like only,4,2,5,2,Yes,"Shared Content, Donation",5,4,2,3,Strong visuals,None
"Federal College of Agriculture, Ibadan",Horticulture,Male,21–25,200 Level,Yes,Daily,Images/Posters,4,4,5,2,Not sure,WhatsApp,WhatsApp,Like & Comment,4,3,4,4,Yes,Shared Content,4,4,2,4,Real-life statistics,Make it relatable
"The Polytechnic, Ibadan",Engineering,Female,16–20,100 Level,Yes,Rarely,Campaign Flyers,3,3,2,1,No,"YouTube, WhatsApp",TikTok,Participate in Challenges/Campaigns,4,3,5,2,No,None,4,5,3,4,Simplicity and clarity,None
Lead City University (LCU),Law,Male,21–25,100 Level,Yes,Rarely,Images/Posters,3,3,3,3,No,"Instagram, WhatsApp",Facebook,I only view/read,5,3,5,2,No,None,2,2,5,2,Emotional storytelling,None
"Federal College of Agriculture, Ibadan",Horticulture,Female,21–25,400 Level,No,Not Applicable,None,3,3,3,3,No,WhatsApp,Facebook,I only view/read,1,4,5,3,Yes,"Stopped Harmful Products, Donation",2,4,2,2,Strong visuals,None
University of Ibadan (UI),Social Sciences,Female,16–20,300 Level,Yes,Weekly,Videos/Documentaries,4,5,5,3,No,WhatsApp,Instagram,I only view/read,4,3,3,3,Yes,Tree-planting,4,3,4,3,Real-life statistics,Collaborate with schools
University of Ibadan (UI),Renewable Natural Resources,Male,21–25,100 Level,Yes,Rarely,Images/Posters,3,2,1,2,Yes,Instagram,Facebook,Like & Comment,4,4,4,3,No,None,3,1,2,3,Real-life statistics,Good job
